证券代码    证券简称        公告日期      业绩预测  上年同期每股收益
 600409     Ｇ唐三友       2006-04-18     略减               0.1546
 600429     Ｇ*ST三元      2006-04-18     扭亏              -0.03  
 600449     赛马实业(行情,论坛)       2006-04-19     续亏              -0.03  
 600462     石岘纸业(行情,论坛)       2006-04-15     首亏               0.023 
 600480     Ｇ凌云         2006-04-06     预增               0.0284
 600487     Ｇ亨通         2006-04-05     预增               0.033 
 600497     驰宏锌锗(行情,论坛)       2006-04-07     预增               0.238 
 600507     Ｇ长力         2006-04-06     首亏               0.15  
 600515     *ST一投(行情,论坛)        2006-04-15     续亏              -0.0143
 600517     Ｇ置信         2006-03-31     预增               0.051 
 600547     Ｇ鲁黄金       2006-03-25     预增               0.09  
 600552     方兴科技(行情,论坛)       2006-04-11     首亏               0.009 
 600560     金自天正(行情,论坛)       2006-04-07     预增               0.0359
 600576     *ST庆丰(行情,论坛)        2006-04-20     首亏               0.031 
 600603     ST兴业(行情,论坛)         2006-04-15     首亏               0.0061
 600617     *ST联华(行情,论坛)        2006-04-12     首亏               0.007 
 600620     Ｇ天宸         2006-04-12     首亏               0.0024
 600639     Ｇ金桥         2006-04-19     预增               0.083 
 600656     *ST华药(行情,论坛)        2006-04-10     首亏               0.005 
 600685     广船国际(行情,论坛)       2006-03-24     预增               0.0179
 600686     Ｇ金龙         2006-04-12     预增               0.11  
 600688     上海石化(行情,论坛)       2006-04-07     首亏               0.149 
 600703     *ST天颐(行情,论坛)        2006-04-06     续亏              -0.01  
 600710     Ｇ常林         2006-04-12     预增               0.008 
 600716     耀华玻璃(行情,论坛)       2006-04-22     首亏               0.01  
 600753     ST冰熊(行情,论坛)         2006-04-14     扭亏              -0.017 
 600761     Ｇ合力         2006-04-04     预增               0.101 
 600792     马龙产业(行情,论坛)       2006-04-18     首亏               0.262 
 600840     新湖创业(行情,论坛)       2006-04-12     预增               0.064 
 600843     上工申贝(行情,论坛)       2006-04-12     扭亏              -0.0414
 600862     ST纵横(行情,论坛)         2006-04-25     首亏               0.0046
 600864     岁宝热电(行情,论坛)       2006-04-08     首亏               0.02  
 600894     Ｇ广钢         2006-04-20     首亏               0.028 
 600967     北方创业(行情,论坛)       2006-04-11     扭亏              -0.08  
 600983     Ｇ合三洋       2006-04-12     预增               0.04  
 600984     建设机械(行情,论坛)       2006-04-05     续亏              -0.12  
 900911     金桥Ｂ股       2006-04-19     预增               0.083 
 900913     *ST联华(行情,论坛)B       2006-04-12     首亏               0.007 
 900924     上工Ｂ股       2006-04-12     扭亏              -0.0414
 900951     大化Ｂ股       2006-04-05     首亏               0.053 
