名称         债券 发行日期 到期日期 总额     利率   价格     收益率(％)
国债0510     贴现 20050915 20060915 331.7    0.00   98.87   3.209   3.242
国债0203     附息 20020418 20120418 200      2.54   96.87   3.399   3.137
21国债(12)   附息 20011030 20111030 200      3.05  101.81   3.204   2.988
国债917      附息 20010731 20210731 240      4.26  109.53   4.709   3.539
21国债(15)   附息 20011218 20081218 200      3.00  102.03   2.703   2.621
21国债(7)    附息 20010731 20210731 240      4.26  109.96   4.653   3.505
20国债(10)   附息 20001114 20071114 120      2.63  101.89   2.212   2.164
国债973      附息 19970905 20070905 130      9.78  117.22   1.602   1.571
国债912      附息 20011030 20111030 200      3.05  101.50   3.275   3.050
02国债(3)    附息 20020418 20120418 200      2.54   97.10   3.347   3.093
国债903      附息 20010424 20080424 120      3.27  101.44   2.604   2.541
21国债(3)    附息 20010424 20080424 120      3.27  101.77   2.428   2.370
国债0210     附息 20020816 20090816 200      2.39  100.27   2.956   2.840
02国债(10)   附息 20020816 20090816 200      2.39  100.46   2.889   2.779
国债0213     附息 20020920 20170920 240      2.60   93.67   4.102   3.304
02国债(13)   附息 20020920 20170920 240      2.60   93.72   4.095   3.298
02国债(14)   附息 20021024 20071024 224      2.65  102.04   2.223   2.174
国债0214     附息 20021024 20071024 224      2.65  101.66   2.491   2.435
国债0215     附息 20021206 20091206 340      2.93  102.46   2.647   2.544
国债0307     附息 20030820 20100820 360      2.66  101.64   2.845   2.707
03国债(7)    附息 20030820 20100820 360      2.66  102.54   2.601   2.484
国债0301     附息 20030219 20100219 350      2.66  100.19   2.871   2.746
03国债(1)    附息 20030219 20100219 350      2.66  101.25   2.552   2.451
03国债(3)    附息 20030417 20230417 260      3.40   99.20   4.477   3.474
国债0303     附息 20030417 20230417 260      3.40   99.10   4.490   3.482
03国债(8)    附息 20030917 20130917 163.8    3.02  101.29   3.428   3.105
国债0308     附息 20030917 20130917 163.8    3.02  101.15   3.454   3.126
03国债(11)   附息 20031119 20101119 310      3.50  105.54   2.688   2.558
国债0311     附息 20031119 20101119 310      3.50  105.54   2.688   2.558
06国债(4)    附息 20060417 20090417 309.6    2.12  100.07   2.182   2.118
国债0604     附息 20060417 20090417 309.6    2.12  100.07   2.182   2.118
04国债(3)    附息 20040420 20090420 304.6    4.42  106.57   2.219   2.152
04国债(4)    附息 20040525 20110525 367.5    4.89  115.81   2.635   2.494
04国债(5)    贴现 20040615 20060615 332.3    0.00   99.81   1.828   1.844
国债0405     贴现 20040615 20060615 332.3    0.00   99.69   2.987   3.027
04国债(7)    附息 20040825 20110825 312.9    4.71  113.29   2.811   2.646
国债0407     附息 20040825 20110825 312.9    4.71  112.89   2.896   2.723
国债0408     附息 20041020 20091020 336.1    4.30  106.25   3.203   3.062
04国债(8)    附息 20041020 20091020 336.1    4.30  109.06   2.317   2.237
04国债(10)   附息 20041125 20111125 359.1    4.86  113.18   2.858   2.682
国债0410     附息 20041125 20111125 359.1    4.86  112.56   2.988   2.796
04国债(11)   附息 20041215 20061215 256.6    2.98  102.24   1.195   1.156
国债0411     附息 20041215 20061215 256.6    2.98  102.97   0.016   0.015
05国债(1)    附息 20050228 20150228 300      4.44  111.34   3.423   3.061
国债0501     附息 20050228 20150228 300      4.44  110.94   3.484   3.110
05国债(3)    附息 20050426 20100426 333.9    3.30  102.98   2.624   2.511
国债0503     附息 20050426 20100426 333.9    3.30  100.53   3.334   3.161
05国债(4)    附息 20050515 20250515 339.2    4.11  110.42   4.854   3.492
国债0504     附息 20050515 20250515 339.2    4.11  101.86   5.992   4.111
05国债(5)    附息 20050525 20120525 337.8    3.37  106.03   3.060   2.841
国债0505     附息 20050525 20120525 337.8    3.37  105.23   3.226   2.985
05国债(6)    贴现 20050615 20060615 353.8    0.00   99.80   1.925   1.942
国债0506     贴现 20050615 20060615 353.8    0.00   98.62  13.441  14.279
05国债(7)    附息 20050715 20070715 350.8    1.58  100.75   2.043   1.997
国债0507     附息 20050715 20070715 350.8    1.58  100.43   2.321   2.269
05国债(8)    附息 20050815 20080815 324.5    1.93  100.66   2.301   2.241
国债0508     附息 20050815 20080815 324.5    1.93  100.36   2.443   2.377
05国债(13)   附息 20051125 20121125 328.4    3.01  102.48   3.038   2.804
