沪市：
每100美元兑换人民币800.9元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
900931  PT水仙(行情,论坛)Ｂ   0.176   1.410      3.404     4.8   PT水仙(行情,论坛)    600625 
900932  陆家Ｂ股   0.717   5.742      1.442     8.28  Ｇ陆家嘴  600663 
900933  华新Ｂ股   0.602   4.821      1.130     5.45  Ｇ华新    600801 
900934  锦江Ｂ股   0.867   6.944      1.146     7.96  Ｇ锦江    600754 
900936  鄂绒Ｂ股   0.33    2.643      1.434     3.79  Ｇ鄂绒    600295 
900937  华电Ｂ股   0.266   2.130      1.573     3.35  华电能源(行情,论坛)  600726 
900938  *ST天海(行情,论坛)B(行情,论坛)   0.176   1.410      1.766     2.49  *ST天海(行情,论坛)   600751 
900940  华源Ｂ股   0.188   1.506      1.793     2.7   华源股份(行情,论坛)  600094 
900941  东信Ｂ股   0.239   1.914      1.813     3.47  东方通信(行情,论坛)  600776 
900942  黄山Ｂ股   0.891   7.136      1.284     9.16  Ｇ黄山    600054 
900943  开开Ｂ股   0.236   1.890      1.561     2.95  开开实业(行情,论坛)  600272 
900945  海航Ｂ股   0.314   2.515      1.010     2.54  海南航空(行情,论坛)  600221 
900946  ST轻骑(行情,论坛)Ｂ   0.146   1.169      1.950     2.28  ST轻骑(行情,论坛)    600698 
900947  振华Ｂ股   1.995  15.978      1.040    16.61  Ｇ振华    600320 
900952  锦港Ｂ股   0.366   2.931      1.419     4.16  锦州港(行情,论坛)    600190 
900955  茉织华Ｂ   0.721   5.774      0.781     4.51  Ｇ茉织华  600555 
深市：
每100港币兑换人民币103.31元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
                  (港元)                       (元)                   
200002  万科Ｂ     8.49    8.771      0.781     6.85  Ｇ万科Ａ  000002 
200003  PT金田Ｂ   1.6     1.653      1.639     2.71  PT金田Ａ  000003 
200011  深物业Ｂ   2.82    2.913      0.343     1     深物业Ａ  000011 
200012  南玻Ｂ     4.15    4.287      1.812     7.77  南玻Ａ    000012 
200013  *ST石化B(行情,论坛)   1.47    1.519      1.626     2.47  *ST石化A(行情,论坛)  000013 
200015  PT中浩Ｂ   1.95    2.015      3.400     6.85  PT中浩Ａ  000015 
200016  深康佳Ｂ   2.81    2.903      1.157     3.36  Ｇ康佳Ａ  000016 
200017  *ST中华B(行情,论坛)   0.69    0.713    1735.607   1237.488 *ST中华A(行情,论坛)  000017 
200018  深中冠Ｂ   1.71    1.767      2.564     4.53  深中冠Ａ  000018 
200019  深深宝Ｂ   3.5     3.616      1.828     6.61  深深宝Ａ  000019 
200020  *ST华发B(行情,论坛)   1.3     1.343      2.122     2.85  *ST华发A(行情,论坛)  000020 
200022  深赤湾Ｂ  13.22   13.658      1.159    15.83  深赤湾Ａ  000022 
200024  招商局Ｂ  12.65   13.069      0.973    12.72  Ｇ招商局  000024 
200025  深特力Ｂ   2.25    2.324      1.231     2.86  Ｇ特力Ａ  000025 
200026  飞亚达Ｂ   2.5     2.583      1.765     4.56  飞亚达Ａ  000026 
200028  一致Ｂ     3.68    3.802      1.352     5.14  Ｇ一致    000028 
200029  深深房Ｂ   2.27    2.345      1.595     3.74  Ｇ深深房  000029 
200030  *ST盛润B(行情,论坛)   0.58    0.599      2.387     1.43  *ST盛润A(行情,论坛)  000030 
200037  深南电Ｂ   3.92    4.050      1.143     4.63  Ｇ南电    000037 
200039  中集Ｂ    10.9    11.261      1.087    12.24  中集集团(行情,论坛)  000039 
200045  深纺织Ｂ   2.43    2.510      2.323     5.83  深纺织Ａ  000045 
200055  方大Ｂ     2.32    2.397      1.982     4.75  Ｇ方大Ａ  000055 
200056  深国商Ｂ   2.53    2.614      1.496     3.91  Ｇ深国商  000056 
200058  深赛格(行情,论坛)Ｂ   1.14    1.178      2.216     2.61  深赛格(行情,论坛)    000058 
200413  宝石Ｂ     1.07    1.105      1.810     2     Ｇ宝石    000413 
200418  小天鹅Ｂ   2.36    2.438      1.784     4.35  小天鹅Ａ  000418 
200429  粤高速Ｂ   3.42    3.533      1.155     4.08  Ｇ粤高速  000429 
200488  晨鸣Ｂ     4.11    4.246      1.036     4.4   Ｇ晨鸣    000488 
200505  *ST珠江(行情,论坛)B   1       1.033      1.607     1.66  *ST珠江(行情,论坛)   000505 
200513  丽珠Ｂ     3.73    3.853      1.414     5.45  丽珠集团(行情,论坛)  000513 
200521  皖美菱Ｂ   1.52    1.570      1.669     2.62  美菱电器(行情,论坛)  000521 
200530  大冷Ｂ     3.29    3.399      1.153     3.92  Ｇ大冷    000530 
200539  粤电力Ｂ   3.94    4.070      1.069     4.35  Ｇ粤电力  000539 
200541  粤照明Ｂ   8.55    8.833      1.035     9.14  Ｇ佛照    000541 
200550  江铃Ｂ     5.8     5.992      1.148     6.88  Ｇ江铃    000550 
200553  沙隆达Ｂ   1.6     1.653      1.652     2.73  沙隆达Ａ  000553 
200570  苏常柴Ｂ   2.31    2.386      1.404     3.35  苏常柴Ａ  000570 
200581  苏威孚Ｂ   6.85    7.077      0.818     5.79  Ｇ威孚    000581 
200596  *ST古井B(行情,论坛)   2.99    3.089      2.030     6.27  *ST古井A(行情,论坛)  000596 
200613  *ST东海B(行情,论坛)   0.59    0.610      2.607     1.59  *ST东海A(行情,论坛)  000613 
200625  长安Ｂ     4.57    4.721      1.419     6.7   长安汽车(行情,论坛)  000625 
200725  京东方Ｂ   1.28    1.322      1.914     2.53  Ｇ京东方  000725 
200726  鲁泰Ｂ     7.02    7.252      0.958     6.95  鲁泰Ａ    000726 
200761  本钢板Ｂ   3.4     3.513      1.144     4.02  Ｇ本钢    000761 
200869  张裕Ｂ    26.6    27.480      1.414    38.87  Ｇ张裕    000869 
