沪市：
每100美元兑换人民币801.65元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
200413  宝石Ｂ     1.07    1.106      1.808     2     Ｇ宝石    000413 
200418  小天鹅Ｂ   2.3     2.378      1.754     4.17  小天鹅Ａ  000418 
200429  粤高速Ｂ   3.34    3.453      1.147     3.96  Ｇ粤高速  000429 
200488  晨鸣Ｂ     4.01    4.146      1.023     4.24  Ｇ晨鸣    000488 
200505  *ST珠江(行情,论坛)B   1.03    1.065      1.615     1.72  *ST珠江(行情,论坛)   000505 
200513  丽珠Ｂ     3.68    3.805      1.382     5.26  丽珠集团(行情,论坛)  000513 
200521  皖美菱Ｂ   1.48    1.530      1.680     2.57  美菱电器(行情,论坛)  000521 
200530  大冷Ｂ     3.23    3.339      1.141     3.81  Ｇ大冷    000530 
200539  粤电力Ｂ   3.71    3.836      1.030     3.95  Ｇ粤电力  000539 
200541  粤照明Ｂ   8.29    8.571      1.027     8.8   Ｇ佛照    000541 
200550  江铃Ｂ     5.49    5.676      1.128     6.4   Ｇ江铃    000550 
200553  沙隆达Ｂ   1.55    1.603      1.659     2.66  沙隆达Ａ  000553 
200570  苏常柴Ｂ   2.15    2.223      1.507     3.35  苏常柴Ａ  000570 
200581  苏威孚Ｂ   6.43    6.648      0.842     5.6   Ｇ威孚    000581 
200596  *ST古井B(行情,论坛)   2.89    2.988      2.098     6.27  *ST古井A(行情,论坛)  000596 
200613  *ST东海B(行情,论坛)   0.58    0.600      2.550     1.53  *ST东海A(行情,论坛)  000613 
200625  长安Ｂ     4.38    4.528      1.480     6.7   长安汽车(行情,论坛)  000625 
200725  京东方Ｂ   1.27    1.313      1.904     2.5   Ｇ京东方  000725 
200726  鲁泰Ｂ     6.73    6.958      0.995     6.92  鲁泰Ａ    000726 
200761  本钢板Ｂ   3.33    3.443      1.124     3.87  Ｇ本钢    000761 
200869  张裕Ｂ    25.51   26.375      1.383    36.48  Ｇ张裕    000869 
