搜狐直播员: 七连败的重庆力帆还会再次新这项记录吗？按照某种不成文的规律，他们该到了触底反弹的时候了。 [0:0 ]
SetCookie("sports005centLeft","0");SetCookie("sports005centRight","0");SetCookie("sports005centTime","上半场");

SetCookie("sports005centLeft","0");SetCookie("sports005centRight","0");SetCookie("sports005centTime","上半场");
 
搜狐直播员: 凡事也不能一概而论，徐弘不是神仙，短短一周的时间，大连人要做的事情还有很多。尹明善应该是找对了人，因为此前徐弘的胞兄就是重庆的守门员教练，只不过当时徐涛执教的是前卫寰岛，但大同小异，徐家兄弟命中注定自己就是半个重庆人。 [0:0 ] 
搜狐直播员: 力帆便即将遭遇到西安国际的强有力挑战，从上个赛季两队交锋的情况看，力帆多多少少还占有些优势。成耀东目前同样也输不起这场比赛，国际九轮过后只积7分，再这样下去，上海人在西安这座城市将很难再立足。 [0:0 ]
SetCookie("sports005centLeft","0");SetCookie("sports005centRight","0");SetCookie("sports005centTime","上半场");
 
搜狐直播员: 请大家预测今天重庆力帆－西安国际的比赛比分！ [0:0 ] 
搜狐直播员: 今天双方争夺实在是激烈，裁判已经出示了5张黄牌。 [0:0 上半场 46分:0秒] 
搜狐直播员: 两队上半场比赛结束，暂时打成0：0稍后带给大家精彩的下半场。 [0:0 中场休息 46分:39秒]
SetCookie("sports005centLeft","0");SetCookie("sports005centRight","0");SetCookie("sports005centTime","中场休息");

SetCookie("sports005centLeft","0");SetCookie("sports005centRight","0");SetCookie("sports005centTime","下半场");
 
搜狐直播员: 下半场比赛开始了。 [0:0 下半场 0分:11秒] 
搜狐直播员: 双方都没有作出人员调整。 [0:0 下半场 0分:42秒]
SetCookie("sports005centLeft","1");SetCookie("sports005centRight","0");SetCookie("sports005centTime","下半场");
 
搜狐直播员: 重庆力帆中路发动进攻，把球分给右边路的威利波尔，边路传中到前点包抄到位的吴庆头球一点将球顶入球门后角！重庆力帆1：0领先 [1:0 下半场 2分:54秒]
SetCookie("sports005MenLeft","46分钟 吴庆")
 
搜狐直播员: 下半场大概刚刚开始40多秒，力帆第一次进攻就撬开了对方大门。 [1:0 下半场 4分:26秒] 
搜狐直播员: 现场观众的情绪也被调动起来。 [1:0 下半场 5分:13秒] 
搜狐直播员: 重庆力帆前场抢断后把球交给吴庆，转身抽射形成了吊射被站位不错的门将得到。 [1:0 下半场 6分:22秒]
SetCookie("sports005MenRight","49分钟 维森特")

SetCookie("sports005centLeft","1");SetCookie("sports005centRight","1");SetCookie("sports005centTime","下半场");
 
搜狐直播员: 西安国际前场任意球机会，把球传到后点跟进的维森特后点垫射把球打进。 [1:1 下半场 8分:23秒] 
搜狐直播员: 西安国际又在禁区里拿球转身晃过后卫射门被站位很好的和正元奋力扑出。 [1:1 下半场 10分:6秒] 
搜狐直播员: 力帆中路吴庆带球推进，把球分到右路传中到禁区里，可惜魏新没能抢到点被对方后卫解围。 [1:1 下半场 10分:55秒] 
搜狐直播员: 王超在防守维森特时放倒了对方，裁判示意比赛继续进行。 [1:1 下半场 12分:8秒] 
搜狐直播员: 王云把球斜传到后点，和正元出击没能拿到后好在进攻队员在后卫逼抢下也没能碰到球。 [1:1 下半场 13分:24秒] 
搜狐直播员: 西安国际用黄勇替下王鹏 [1:1 下半场 14分:1秒] 
搜狐直播员: 力帆也作出人员调整，范赟上 [1:1 下半场 16分:41秒] 
搜狐直播员: 重庆力帆在后场控球。 [1:1 下半场 17分:2秒] 
搜狐直播员: 西安国际前场维森特拿球突破，魏新在底线附近把球抢下断球成功。 [1:1 下半场 17分:52秒] 
搜狐直播员: 重庆力帆现在打起了防守反击。 [1:1 下半场 20分:18秒] 
搜狐直播员: 贾文鹏中路带球突破快速推进到前场，距门大概30米一脚远射，非常有力量被门将飞身扑出，跟进的刘家林可能刚刚上场动作发僵没有在第一时间射门丧失了机会。 [1:1 下半场 22分:4秒] 
搜狐直播员: 西安国际获得一个角球，发到后点，和正元出击把球托出边线。 [1:1 下半场 23分:6秒] 
搜狐直播员: 王云左边路拿球突破传中打在防守队员身上弹出边线。 [1:1 下半场 24分:3秒] 
搜狐直播员: 西安国际边路拿球斜传禁区第一点被周麟拿球。 [1:1 下半场 26分:37秒] 
搜狐直播员: 力帆左路拿球传球给威利波尔，横向带球突破禁区弧里倒地射门被门将扑住。 [1:1 下半场 28分:11秒] 
搜狐直播员: 西安国际又作出人员调整换上吴承瑛 [1:1 下半场 29分:43秒] 
搜狐直播员: 西安国际获得前场界外球。 [1:1 下半场 30分:20秒] 
搜狐直播员: 西安国际左路王云拿球防守他的周麟背后侵人犯规，禁区左侧任意球。 [1:1 下半场 31分:35秒] 
搜狐直播员: 王云直接打门球从后门柱滑出。 [1:1 下半场 32分:5秒] 
搜狐直播员: 西安国际左侧长传中路的维森特，边裁示意他越位了。 [1:1 下半场 33分:0秒] 
搜狐直播员: 西安国际在左路控球，直塞给队友时周麟卡位不错把球断下。 [1:1 下半场 33分:59秒] 
搜狐直播员: 刘家林中场带球球丢了，伊万拿球下底被魏新断下，反击。 [1:1 下半场 35分:5秒] 
搜狐直播员: 威利波尔禁区里接到队友传球，倚住后卫射门可惜没什么力量。 [1:1 下半场 36分:20秒] 
搜狐直播员: 达科禁区外控球转身射门力量角度具佳，对方门将表现不错把球扑出 [1:1 下半场 38分:9秒] 
搜狐直播员: 比赛进入尾声了。 [1:1 下半场 39分:29秒] 
搜狐直播员: 力帆前场获得任意球，可惜传到禁区里第一点被对方头球解围。 [1:1 下半场 40分:50秒] 
搜狐直播员: 西安国际后场断球，把球快速转移到右路，斜传禁区被和正元出击拿到。 [1:1 下半场 41分:55秒]
SetCookie("sports005centLeft","1");SetCookie("sports005centRight","1");SetCookie("sports005centTime","下半场");
 
搜狐直播员: 西安国际现在压到中场围攻重庆力帆了。 [1:1 下半场 43分:26秒] 
搜狐直播员: 下半场比赛要补时2分钟。 [1:1 下半场 45分:20秒] 
搜狐直播员: 西安国际前场沈晗一次不必要的犯规，逃过了一张黄牌，之前他已经有过黄牌 [1:1 下半场 45分:59秒] 
搜狐直播员: 大家来讨论一下今天比赛。 [1:1 下半场 47分:32秒] 
搜狐直播员: 好了，全场比赛结束，重庆力帆换帅后终于止住了继续连败的势头，取得赛季来第一场平局。 [1:1 下半场 49分:37秒] 
